url;emails;phones;linkedin;facebook;twitter;instagram
https://www.wordstream.com/;;8559673787;https://www.linkedin.com/companies/wordstream;https://www.facebook.com/WordStream;https://twitter.com/WordStream;https://www.instagram.com/localiq/
https://www.wordstream.com/;;18669710933;https://www.linkedin.com/in/gordon-donnelly-891468108/;https://www.facebook.com/business/news/updated-features-for-video-ads;https://twitter.com/Gord_Donnelly;https://about.instagram.com/about-us
https://www.wordstream.com/;;+18558661918;https://about.linkedin.com/;https://analytics.facebook.com/;https://twitter.com/hashtag/freejonyive;https://www.instagram.com/p/Ck_M2fmP7Cq/?utm_source=ig_web_copy_link
https://www.wordstream.com/;;;https://business.linkedin.com/marketing-solutions/sponsored-inmail;https://www.facebook.com/business/GDPR;https://blog.twitter.com/2015/new-holiday-research-five-ways-for-retailers-to-engage-shoppers-on-twitter;https://www.instagram.com/p/CkzFo54sg97/?utm_source=ig_web_copy_link
https://www.wordstream.com/;;;https://business.linkedin.com/content/dam/me/business/en-us/marketing-solutions/resources/pdfs/linkedin-vistavu-case-study-en-us.pdf;https://business.facebook.com/;https://twitter.com/Bundle_and_Save/status/1592850714803347456;https://www.instagram.com/p/CMxzbNPFMP0/?utm_source=ig_web_copy_link
https://www.wordstream.com/;;;https://business.linkedin.com/marketing-solutions/cx/17/06/advertise-on-linkedin?trk=sem_lms_gaw&src=go-pa&veh=LMS_EMEA_Deprioritized_ROE_Search_Google-Brand_DR-PRS_Broad_HeadTerms-Alpha_All_English_Core_431738531478__linkedin%20marketing_c__kwd-7650951355_9216596360&mcid=6612464045041733646&cname=LMS_EMEA_Deprioritized_ROE_Search_Google-Brand_DR-PRS_Broad_HeadTerms-Alpha_All_English_Core&camid=9216596360&asid=94475516878&targetid=kwd-7650951355&crid=431738531478&placement=&dev=c&ends=1&gclid=Cj0KCQiA88X_BRDUARIsACVMYD-TiYbftC96ncGZB8HPtrJRKITUsiptDBDfELTSpzW1pYBB4fcBX8kaAuumEALw_wcB&gclsrc=aw.ds;https://www.facebook.com/business/ads-guide/video/instagram-feed/traffic;https://twitter.com/LocaliQ;https://www.instagram.com/p/CkjHS0ANyez/?utm_source=ig_web_copy_link
https://www.wordstream.com/;;;https://www.linkedin.com/posts/enriquelores_nahm2021-nativeamericanheritagemonth-activity-6863936631238467584-29pn/?utm_source=share&utm_medium=member_desktop;https://www.facebook.com/business/help/527780867299597;https://twitter.com/Gannett;https://www.instagram.com/p/CY-Ot30JMM5/?utm_source=ig_web_copy_link
https://www.wordstream.com/;;;https://www.linkedin.com/posts/darren-domah-542b44136_gender-education-opportunities-activity-6875159723348430848-qXPi?utm_source=share&utm_medium=member_desktop;https://www.facebook.com/business/success/broccoli-pizza-and-pasta;;https://www.instagram.com/gannettco/
https://www.wordstream.com/;;;https://www.linkedin.com/company/localiq;https://www.facebook.com/business/help/473994396650734;;
https://www.wordstream.com/;;;https://www.linkedin.com/company/gannett/;https://www.facebook.com/profile.php?id=100067176964428;;
